subj,fname,outl,seg,note,,traj,repetitions,tGONS,tPVEL,tNONS,tMAXC,tNOFFS,tPVEL2,tGOFFS,xGONS,xPVEL,xNONS,xMAXC,xNOFFS,xPVEL2,xGOFFS,yGONS,yPVEL,yNONS,yMAXC,yNOFFS,yPVEL2,yGOFFS,zGONS,zPVEL,zNONS,zMAXC,zNOFFS,zPVEL2,zGOFFS,vGONS,vPVEL,vNONS,vMAXC,vNOFFS,vPVEL2,vGOFFS
CTRL 01,PD_PA_DDK1_B01_R01_0138_01,,P,,dat,LA,42,4157.5,4195,4242.5,4255,4267.5,4325,4365,29.8,24.7,18.3,18,18.2,24.7,29.6,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4.486,19.211,4.508,0.046,3.661,16.111,4.776
CTRL 01,PD_PA_DDK1_B01_R01_0138_01,,P,,,LA,,4380,4420,4467.5,4480,4492.5,4540,4582.5,29.7,24.6,18.6,18.3,18.5,23.4,28.2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4.099,17.664,4.488,0.172,3.743,14.661,3.889
CTRL 01,PD_PA_DDK1_B01_R01_0138_01,,P,,,LA,,4597.5,4637.5,4682.5,4695,4707.5,4765,4802.5,28.2,24,19.4,19.2,19.4,25.5,29.9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3.434,14.414,3.454,0.173,3.426,15.589,3.905
CTRL 01,PD_PA_DDK1_B01_R01_0138_01,,P,,,LA,,4817.5,4857.5,4905,4917.5,4927.5,4987.5,5025,29.9,25,19.1,18.9,19.1,25.1,29.2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4.373,17.041,4.073,0.374,3.237,14.453,4.091
CTRL 01,PD_PA_DDK1_B01_R01_0138_01,,P,,,LA,,5040,5080,5127.5,5140,5150,5212.5,5252.5,29.3,24.7,19.5,19.3,19.4,24.3,27.7,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3.942,15.629,3.512,0.031,2.384,10.915,3.213
CTRL 01,PD_PA_DDK1_B01_R01_0138_01,,P,,,LA,,5267.5,5305,5355,5370,5385,5442.5,5482.5,27.7,24.2,20,19.8,20.1,26.6,31.6,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3.229,12.483,2.834,0.243,3.677,16.423,4.562
CTRL 01,PD_PA_DDK1_B01_R01_0138_01,,P,,,LA,,5497.5,5537.5,5585,5597.5,5610,5660,5697.5,31.7,26.3,19.9,19.6,19.8,25,29.3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4.307,18.848,4.788,0.258,3.606,14.916,4.331
CTRL 01,PD_PA_DDK1_B01_R01_0138_01,,P,,,LA,,5715,5755,5800,5812.5,5822.5,5880,5915,29.3,24,18.3,18.1,18.3,23.5,27.2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4.587,18.036,4.065,0.267,2.968,13.718,4.071
CTRL 01,PD_PA_DDK1_B01_R01_0138_01,,P,,,LA,,5930,5965,6012.5,6027.5,6045,6105,6145,27.2,23.6,19,18.7,19,25,29.3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3.446,14.154,3.458,0.042,3.192,14.731,3.777
CTRL 01,PD_PA_DDK1_B01_R01_0138_01,,P,,,LA,,6160,6197.5,6250,6265,6280,6342.5,6382.5,29.3,25,19.3,19,19.3,25.1,29.1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3.877,15.948,3.596,0.011,3.143,13.402,2.903
CTRL 01,PD_PA_DDK1_B01_R02_0139_01,,P,,dat,LA,52,5522.5,5560,5607.5,5620,5635,5692.5,5732.5,28.6,23.7,18,17.8,18,24.1,28.8,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4.935,17.449,3.798,0.294,3.453,15.374,4.633
CTRL 01,PD_PA_DDK1_B01_R02_0139_01,,P,,,LA,,5750,5787.5,5837.5,5852.5,5865,5917.5,5955,28.8,24,17.8,17.5,17.8,23.9,28.6,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4.647,17.446,4.245,0.107,3.561,17.117,4.696
CTRL 01,PD_PA_DDK1_B01_R02_0139_01,,P,,,LA,,5972.5,6010,6057.5,6070,6077.5,6125,6172.5,28.6,24.1,18.7,18.5,18.6,22.1,25.9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4.541,16.331,3.595,0.296,2.315,10.261,3.1
CTRL 01,PD_PA_DDK1_B01_R02_0139_01,,P,,,LA,,6190,6225,6277.5,6300,6322.5,6380,6425,25.9,22.4,17.8,17.5,17.8,24.2,29.8,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3.823,13.688,2.805,0.067,3.467,16.789,3.981
