subj,fname,outl,seg,note,,traj,repetitions,tGONS,tPVEL,tNONS,tMAXC,tNOFFS,tPVEL2,tGOFFS,xGONS,xPVEL,xNONS,xMAXC,xNOFFS,xPVEL2,xGOFFS,yGONS,yPVEL,yNONS,yMAXC,yNOFFS,yPVEL2,yGOFFS,zGONS,zPVEL,zNONS,zMAXC,zNOFFS,zPVEL2,zGOFFS,vGONS,vPVEL,vNONS,vMAXC,vNOFFS,vPVEL2,vGOFFS
PD 01,PD_PA_DDK1_B01_R01_0134_01,,P,,dat,LA,17 + 14,3862.5,3892.5,3920,3925,3932.5,3965,3992.5,21.4,20.6,19.9,19.9,19.9,20.7,21.5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.81,3.612,0.879,0.139,0.907,3.53,1
PD 01,PD_PA_DDK1_B01_R01_0134_01,,P,,,LA,,4005,4035,4070,4075,4082.5,4110,4140,21.4,20.7,19.8,19.8,19.8,20.4,21,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1.044,3.31,0.801,0.154,0.801,2.839,0.699
PD 01,PD_PA_DDK1_B01_R01_0134_01,,P,,,LA,,4150,4177.5,4205,4212.5,4217.5,4247.5,4275,21,20.6,20,20,20,20.5,21,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.555,2.46,0.699,0.106,0.622,2.249,0.552
PD 01,PD_PA_DDK1_B01_R01_0134_01,,P,,,LA,,4287.5,4317.5,4347.5,4352.5,4357.5,4387.5,4417.5,21,20.3,19.6,19.6,19.6,20.3,21,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.939,3.126,0.651,0.022,0.685,3.182,0.749
PD 01,PD_PA_DDK1_B01_R01_0134_01,,P,,,LA,,4427.5,4455,4482.5,4490,4497.5,4525,4547.5,21,20.5,20,20,20.1,20.6,21,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.586,2.34,0.663,0.051,0.809,2.659,0.734
PD 01,PD_PA_DDK1_B01_R01_0134_01,,P,,,LA,,4557.5,4585,4612.5,4620,4625,4655,4682.5,21,20.4,19.8,19.8,19.8,20.4,21,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.719,2.954,0.869,0.087,0.707,2.842,0.795
PD 01,PD_PA_DDK1_B01_R01_0134_01,,P,,,LA,,4695,4722.5,4752.5,4757.5,4762.5,4787.5,4812.5,21,20.5,20,20,20,20.4,20.7,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.818,2.385,0.515,0.028,0.558,1.983,0.547
PD 01,PD_PA_DDK1_B01_R01_0134_01,,P,,,LA,,4762.5,4787.5,4872.5,4880,4885,4912.5,4937.5,20,20.4,20.2,20.1,20.2,20.5,20.9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.558,1.983,0.573,0.034,0.467,1.913,0.63
PD 01,PD_PA_DDK1_B01_R01_0134_01,,P,,,LA,,4885,4912.5,5007.5,5015,5022.5,5052.5,5077.5,20.2,20.5,20.2,20.2,20.2,20.5,20.8,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.467,1.913,0.476,0.027,0.396,1.467,0.45
PD 01,PD_PA_DDK1_B01_R01_0134_01,,P,,,LA,,5090,5122.5,5160,5165,5172.5,5202.5,5232.5,20.8,20.3,19.7,19.7,19.7,20.2,20.7,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.568,2.097,0.468,0.032,0.638,2.298,0.571
PD 01,PD_PA_DDK1_B01_R02_0135_01,,P,,dat,LA,1 + 24 + 14 +2,4185,4217.5,4247.5,4252.5,4257.5,4277.5,4302.5,22,21.3,20.6,20.6,20.6,20.9,21.3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.872,3.164,0.738,0.001,0.717,2.172,0.486
PD 01,PD_PA_DDK1_B01_R02_0135_01,,P,,,LA,,4315,4337.5,4357.5,4362.5,4370,4392.5,4412.5,21.3,21.1,20.9,20.9,20.9,21.2,21.5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.339,1.048,0.433,0.081,0.547,1.875,0.656
PD 01,PD_PA_DDK1_B01_R02_0135_01,,P,,,LA,,4422.5,4452.5,4480,4485,4492.5,4522.5,4552.5,21.5,21,20.4,20.4,20.4,21.1,21.7,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.612,2.722,0.627,0.028,0.835,2.784,0.678
PD 01,PD_PA_DDK1_B01_R02_0135_01,,P,,,LA,,4562.5,4582.5,4617.5,4627.5,4640,4710,4740,21.7,21.5,21.1,21.1,21.2,20.8,20.4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.384,1.358,0.328,0.032,0.486,2.139,0.545
PD 01,PD_PA_DDK1_B01_R02_0135_01,,P,,,LA,,4680,4710,4740,4747.5,4755,4782.5,4810,21.3,20.8,20.4,20.4,20.4,20.8,21.2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.54,2.139,0.545,0.023,0.529,1.996,0.636
PD 01,PD_PA_DDK1_B01_R02_0135_01,,P,,,LA,,4825,4850,4882.5,4887.5,4892.5,4915,4935,21.2,21,20.7,20.7,20.7,20.9,21.1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.385,1.097,0.302,0.028,0.288,1.231,0.434
PD 01,PD_PA_DDK1_B01_R02_0135_01,,P,,,LA,,4945,4980,5007.5,5015,5020,5050,5087.5,21.1,20.6,20.3,20.2,20.2,20.8,21.5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.4,1.856,0.638,0.068,0.582,2.552,0.65
PD 01,PD_PA_DDK1_B01_R02_0135_01,,P,,,LA,,5100,5122.5,5152.5,5160,5167.5,5200,5227.5,21.5,21.3,21,21,21,21.5,21.9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.355,1.398,0.326,0.048,0.51,1.976,0.542
PD 01,PD_PA_DDK1_B01_R02_0135_01,,P,,,LA,,5237.5,5262.5,5292.5,5300,5305,5327.5,5352.5,21.9,21.5,21.2,21.1,21.2,21.4,21.7,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.407,1.753,0.512,0.078,0.468,1.445,0.533
PD 01,PD_PA_DDK1_B01_R02_0135_01,,P,,,LA,,5365,5390,5417.5,5425,5432.5,5462.5,5490,21.7,21.3,21,20.9,20.9,21.2,21.4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.526,1.884,0.541,0.049,0.353,1.067,0.331
PD 01,PD_PA_DDK2_B01_R01_0148_01,,P,,dat,LA,15 + 8 + 2,3490,3520,3557.5,3600,3607.5,3687.5,3707.5,22.2,21.6,20.8,20.9,20.9,20.8,21,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.675,2.786,0.651,0.025,0.252,1.062,0.346
PD 01,PD_PA_DDK2_B01_R01_0148_01,,P,,,LA,,3720,3750,3780,3785,3792.5,3817.5,3847.5,21,20.5,20,20,20,20.4,20.9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.594,2.112,0.502,0.043,0.652,1.968,0.611
PD 01,PD_PA_DDK2_B01_R01_0148_01,,P,,,LA,,3860,3882.5,3907.5,3915,3925,4020,4047.5,20.9,20.7,20.5,20.4,20.5,20.3,19.9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.343,1.247,0.364,0.018,0.438,2.024,0.444
PD 01,PD_PA_DDK2_B01_R01_0148_01,,P,,,LA,,3990,4020,4047.5,4052.5,4057.5,4090,4122.5,20.8,20.3,19.9,19.9,19.9,20.5,21,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.538,2.024,0.444,0.037,0.512,2.16,0.691
PD 01,PD_PA_DDK2_B01_R01_0148_01,,P,,,LA,,4137.5,4162.5,4195,4202.5,4210,4235,4257.5,21,20.7,20.4,20.4,20.4,20.6,20.8,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.454,1.479,0.365,0.036,0.299,1.051,0.292
PD 01,PD_PA_DDK2_B01_R01_0148_01,,P,,,LA,,4267.5,4300,4342.5,4347.5,4352.5,4372.5,4385,20.8,20.5,20.2,20.2,20.2,20.3,20.4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.275,0.931,0.228,0.018,0.199,0.641,0.59
PD 01,PD_PA_DDK2_B01_R01_0148_01,,P,,,LA,,4395,4405,4537.5,4545,4552.5,4580,4607.5,20.4,20.5,20.6,20.6,20.6,20.4,20.1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.587,0.627,0.168,0.012,0.261,1.009,0.313
PD 01,PD_PA_DDK2_B01_R01_0148_01,,P,,,LA,,4552.5,4580,4607.5,4612.5,4620,4652.5,4680,20.6,20.4,20.1,20.1,20.2,20.7,21.2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.261,1.009,0.313,0.004,0.585,2.254,0.56
PD 01,PD_PA_DDK2_B01_R02_0149_01,,P,,dat,LA,17 + 10 + 1,3857.5,3882.5,3955,3962.5,3970,4000,4030,22.1,21.7,21.4,21.4,21.4,20.9,20.3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.608,2.099,0.558,0.045,0.607,2.368,0.693
PD 01,PD_PA_DDK2_B01_R02_0149_01,,P,,,LA,,3970,4000,4030,4037.5,4042.5,4070,4095,21.4,20.9,20.3,20.3,20.3,20.8,21.2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.607,2.368,0.693,0.066,0.567,2.082,0.516
PD 01,PD_PA_DDK2_B01_R02_0149_01,,P,,,LA,,3970,4000,4152.5,4160,4167.5,4202.5,4232.5,21.4,20.9,20.5,20.5,20.5,21.2,21.7,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.607,2.368,0.603,0.024,0.681,2.635,0.605
PD 01,PD_PA_DDK2_B01_R02_0149_01,,P,,,LA,,4245,4270,4302.5,4310,4315,4340,4365,21.7,21.3,20.8,20.8,20.8,21,21.3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.681,2.211,0.609,0.009,0.395,1.465,0.445
PD 01,PD_PA_DDK2_B01_R02_0149_01,,P,,,LA,,4375,4405,4430,4435,4440,4467.5,4495,21.3,20.9,20.6,20.6,20.6,21,21.4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.416,1.764,0.528,0.039,0.454,1.983,0.546
PD 01,PD_PA_DDK2_B01_R02_0149_01,,P,,,LA,,4507.5,4530,4560,4565,4572.5,4607.5,4652.5,21.4,21.2,21,21,21,21.2,21.4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.309,1.105,0.264,0.04,0.257,0.718,0.183
PD 01,PD_PA_DDK2_B01_R02_0149_01,,P,,,LA,,4572.5,4607.5,4652.5,4657.5,4662.5,4760,4775,21,21.2,21.4,21.4,21.4,21.4,21.4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.257,0.718,0.183,0.015,0.149,0.584,0.232
PD 01,PD_PA_DDK2_B01_R02_0149_01,,P,,,LA,,4785,4815,4840,4847.5,4860,4902.5,4930,21.4,21.1,20.8,20.8,20.9,21.5,21.9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.335,1.46,0.462,0.053,0.529,2.001,0.593
PD 01,PD_PA_DDK2_B01_R02_0149_01,,P,,,LA,,4942.5,4970,5002.5,5007.5,5012.5,5037.5,5060,21.9,21.5,21.1,21.1,21.1,21.3,21.5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.54,1.798,0.411,0.039,0.314,1.26,0.334
PD 01,PD_PA_DDK2_B01_R02_0149_01,,P,,,LA,,5070,5090,5115,5120,5127.5,5160,5185,21.5,21.3,21.1,21.1,21.1,21.5,21.7,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.375,1.15,0.287,0.021,0.369,1.441,0.375
PD 01,PD_TA_DDK1_B01_R01_0132_01,,T,,dat,TT_XZ,37 + 3,5902.5,5945,5997.5,6050,6070,6115,6147.5,-16.8,-14.8,-12,-11.2,-11.4,-13.8,-15.8,X,X,X,X,X,X,X,6.4,8.5,10.5,10.2,9.9,8.3,7.3,2.626,9.217,2.858,1.081,2.983,8.55,3.534
PD 01,PD_TA_DDK1_B01_R01_0132_01,,T,,,TT_XZ,,6167.5,6205,6247.5,6272.5,6305,6350,6380,-16,-14.3,-12.2,-11.8,-11.8,-13.3,-14.6,X,X,X,X,X,X,X,7.6,9.4,10.9,10.8,10.3,8.6,7.8,3.318,8.281,2.936,1.274,2.572,6.615,2.833
PD 01,PD_TA_DDK1_B01_R01_0132_01,,T,,,TT_XZ,,6402.5,6437.5,6480,6490,6500,6537.5,6570,-14.8,-13.5,-11.6,-11.5,-11.6,-12.8,-14.1,X,X,X,X,X,X,X,8,9.4,10.4,10.4,10.3,9.1,8.2,2.946,6.885,1.875,0.513,1.827,6.303,2.053
PD 01,PD_TA_DDK1_B01_R01_0132_01,,T,,,TT_XZ,,6587.5,6622.5,6655,6662.5,6672.5,6697.5,6730,-14.2,-13.1,-11.8,-11.6,-11.6,-12.3,-13.3,X,X,X,X,X,X,X,8.3,9.5,10.4,10.4,10.2,9.3,8.4,1.946,6.291,2.277,1.183,2.458,5.473,1.787
